,new_GMM,old_GMM
0,8.116667957184275,8.116656999462604
1,8.116666073436198,8.116666747648313
2,8.116669355329453,8.116659427883889
3,8.11666875642719,8.116664670549406
4,8.11666935532989,8.116665491207794
5,8.116668756427218,8.116663253037284
6,8.116669834857547,8.116663418512363
7,8.116671665921622,8.1166630708264
8,8.116669834857312,8.116671305714181
9,8.116667957184275,8.116666961882759
10,8.11666875642719,8.116657542585555
11,8.11666875642719,8.116662025448104
12,8.11666683489655,8.11665733913052
13,8.116669834857547,8.11666400886683
14,8.116666073436198,8.116665920249822
15,8.116665038445907,8.116670891479915
16,8.116669834857312,8.116660722237404
17,8.116669834857547,8.116658300218877
18,8.116667957184282,8.116658276897944
19,8.116665114545448,8.116660108681534
20,8.116668756427218,8.116663985478631
21,8.116669834857547,8.116658260114916
22,8.116666073436198,8.116665950091084
23,8.116667957184275,8.116667992951282
24,8.116669777324724,8.116666539615688
25,8.116671665921622,8.116669835302966
26,8.116669834857312,8.116662592281248
27,8.116671223951595,8.116659545572015
28,8.116669834857312,8.116670017143617
29,8.116670659716306,8.116659733214487
30,8.116670659716306,8.116657987091648
31,8.116670403167003,8.116659833929736
32,8.116669834857312,8.116669696370018
33,8.116670659716306,8.116668617880562
34,8.116671223951595,8.1166622840921
35,8.116671223951595,8.116656022343438
36,8.116670659716306,8.116671477702866
37,8.116671223951595,8.116660418876801
38,8.116669834857547,8.116660237610166
39,8.11666964896076,8.116661757417177
40,8.116667957184282,8.11665801934953
41,8.116668756427218,8.116664916128345
42,8.116669834857312,8.116670899963031
43,8.116670659716306,8.11665821540389
44,8.116667957184275,8.116671579640997
45,8.116666073436198,8.11665711241403
46,8.116667957184948,8.116666011517472
47,8.116669834857547,8.116670998795168
48,8.116666073436198,8.116660441774657
49,8.116671665921622,8.116659401563796
50,8.116667957184948,8.116669134649964
51,8.116666073436198,8.116660705117607
52,8.116669777324724,8.116661713125625
53,8.116670659716872,8.116657041149738
54,8.116669834857312,8.116670833782194
55,8.116670659716306,8.116667208743669
56,8.116669777324724,8.116666550534461
57,8.116666073436198,8.116662381087423
58,8.116669777324724,8.116662742185458
59,8.116667957184275,8.11666424434763
60,8.116666073436198,8.116666119713162
61,8.11666683489655,8.116663888019092
62,8.116667957184282,8.11666755117082
63,8.116671665921622,8.116656429579077
64,8.116668756427199,8.116658924878093
65,8.116669834857547,8.116656928007284
66,8.116664765961563,8.116666401681599
67,8.116669834857312,8.116659509145032
68,8.116667016889432,8.116668235239844
69,8.116669777324601,8.116665211216269
70,8.116669834857312,8.116667287917583
71,8.11666935532989,8.116671132114847
72,8.116669834857312,8.116659475755784
73,8.116671223951595,8.116656548944603
74,8.116669777324724,8.1166629767824
75,8.116669834857312,8.11666920247023
76,8.116667957184275,8.116670719769015
77,8.116666073436198,8.116670666202669
78,8.11666683489655,8.116661655551166
79,8.116670659716872,8.116665996789632
80,8.116665971107519,8.116662698434187
81,8.11666875642719,8.116659586518985
82,8.116669834857547,8.11666490378809
83,8.116669834857312,8.116656550069955
84,8.116670659716306,8.116667220487797
85,8.116667957184275,8.116656217413299
86,8.116666073436198,8.116659134248719
87,8.116669834857312,8.116658162936075
88,8.116669777324724,8.116670260997338
89,8.116666073436198,8.116658750747684
90,8.116667873163664,8.116664278839428
91,8.116666073436198,8.116657076171894
92,8.116667957184282,8.11666118866798
93,8.116667957184275,8.116665664153462
94,8.116669834857312,8.116668680162874
95,8.11666683489655,8.116662843440633
96,8.116669834857312,8.11666696633287
97,8.116669834857312,8.11666877505109
98,8.116669777324724,8.116663628664542
99,8.116669777324724,8.116656777963085
