,perimeter,points,ucs3bi,ucs3mono,ucs3tri
25,0.6452908752163862,"[<search.State instance at 0x95823b0>, <search.State instance at 0x9582a28>, <search.State instance at 0x95829e0>]",342,470,345
26,0.8955126977496564,"[<search.State instance at 0x62c7488>, <search.State instance at 0x62c7200>, <search.State instance at 0x62c7908>]",607,652,283
27,0.810280372285575,"[<search.State instance at 0x8b5b878>, <search.State instance at 0x8b5b128>, <search.State instance at 0x8b5b050>]",697,773,329
28,0.752762479487267,"[<search.State instance at 0x8a68638>, <search.State instance at 0x8a687a0>, <search.State instance at 0x8a686c8>]",1242,1410,459
29,0.5338365602828969,"[<search.State instance at 0x95afcb0>, <search.State instance at 0x95af758>, <search.State instance at 0x95af680>]",263,717,280
30,0.8292793341282261,"[<search.State instance at 0x62c7440>, <search.State instance at 0x62c7f80>, <search.State instance at 0x62c78c0>]",233,326,160
31,0.9590573180890026,"[<search.State instance at 0x698b200>, <search.State instance at 0x698bd88>, <search.State instance at 0x698ba70>]",418,583,320
32,0.689233076161653,"[<search.State instance at 0x8a59998>, <search.State instance at 0x8a593b0>, <search.State instance at 0x8a59830>]",503,848,306
33,0.8167540588355766,"[<search.State instance at 0x62c7560>, <search.State instance at 0x62c7320>, <search.State instance at 0x62c7950>]",479,430,547
34,0.8775353649966755,"[<search.State instance at 0x9582b90>, <search.State instance at 0x9582a70>, <search.State instance at 0x95823f8>]",2016,1104,992
35,0.8088880104871559,"[<search.State instance at 0x89cf638>, <search.State instance at 0x89cfab8>, <search.State instance at 0x89cfe60>]",548,398,281
36,0.8981405641226466,"[<search.State instance at 0x67c3cf8>, <search.State instance at 0x67c33b0>, <search.State instance at 0x67c34d0>]",395,1120,399
37,0.8339562145924182,"[<search.State instance at 0x959a6c8>, <search.State instance at 0x8a44ef0>, <search.State instance at 0x8a44c20>]",934,1324,783
38,0.8278830871444672,"[<search.State instance at 0x850dcf8>, <search.State instance at 0x850d2d8>, <search.State instance at 0x850da70>]",363,844,319
39,0.9224737489136647,"[<search.State instance at 0x8a68ab8>, <search.State instance at 0x8a68b48>, <search.State instance at 0x8a68ef0>]",1244,1006,515
40,0.6293410473407068,"[<search.State instance at 0x8bc4098>, <search.State instance at 0x8bc4a70>, <search.State instance at 0x8bc41b8>]",611,919,438
41,0.7109493728367063,"[<search.State instance at 0x9666680>, <search.State instance at 0x9666b48>, <search.State instance at 0x9666290>]",1000,1079,1000
42,0.4935528424024052,"[<search.State instance at 0x6a381b8>, <search.State instance at 0x6a38a70>, <search.State instance at 0x6a38ab8>]",207,311,256
43,0.9918852297543849,"[<search.State instance at 0x8a48320>, <search.State instance at 0x8a48998>, <search.State instance at 0x8a48830>]",491,586,472
44,0.45418665622278803,"[<search.State instance at 0x89cf5f0>, <search.State instance at 0x89cf680>, <search.State instance at 0x89cfdd0>]",193,297,193
45,0.9560524364058824,"[<search.State instance at 0x675da28>, <search.State instance at 0x675dcf8>, <search.State instance at 0x675d0e0>]",748,1307,695
46,0.3918490582679086,"[<search.State instance at 0x6706b90>, <search.State instance at 0x6706440>, <search.State instance at 0x67061b8>]",319,204,261
47,0.6480054936900025,"[<search.State instance at 0x6706f38>, <search.State instance at 0x6706488>, <search.State instance at 0x6706878>]",1184,834,953
48,0.9697637720166735,"[<search.State instance at 0x8551a70>, <search.State instance at 0x8551d88>, <search.State instance at 0x85515a8>]",1024,1320,377
49,0.9935712146852373,"[<search.State instance at 0x8a485f0>, <search.State instance at 0x8a48200>, <search.State instance at 0x8a488c0>]",797,1385,736
