,perimeter,points,ucs3bi,ucs3mono,ucs3tri
0,0.8352904989784827,"[<search.State instance at 0x8a68cf8>, <search.State instance at 0x8a682d8>, <search.State instance at 0x8a68a70>]",751,435,258
1,0.3980319934201263,"[<search.State instance at 0x959a3b0>, <search.State instance at 0x959aa70>, <search.State instance at 0x959a908>]",749,381,309
2,0.6796810777814345,"[<search.State instance at 0x959a2d8>, <search.State instance at 0x959a1b8>, <search.State instance at 0x959a248>]",534,377,336
3,0.21031968534362724,"[<search.State instance at 0x85407e8>, <search.State instance at 0x85405f0>, <search.State instance at 0x8540c20>]",117,153,73
4,0.6848854863051906,"[<search.State instance at 0x8a594d0>, <search.State instance at 0x8a590e0>, <search.State instance at 0x5f52dd0>]",383,327,429
5,0.9151658908209582,"[<search.State instance at 0x66613b0>, <search.State instance at 0x8515488>, <search.State instance at 0x850f200>]",319,768,319
6,0.7021333510196812,"[<search.State instance at 0x5f52b48>, <search.State instance at 0x5f527a0>, <search.State instance at 0x8a9d680>]",738,1040,685
7,0.9539835962854049,"[<search.State instance at 0x9b76050>, <search.State instance at 0x9b76830>, <search.State instance at 0x9b76200>]",2338,896,800
8,0.8272230040242708,"[<search.State instance at 0x8a487e8>, <search.State instance at 0x8a48440>, <search.State instance at 0x8a48710>]",455,709,225
9,0.9564233931739732,"[<search.State instance at 0x653ab00>, <search.State instance at 0x653ae18>, <search.State instance at 0x653aea8>]",592,817,693
10,0.7505197788329461,"[<search.State instance at 0x959a440>, <search.State instance at 0x959abd8>, <search.State instance at 0x959a488>]",629,986,581
11,0.7092184441933602,"[<search.State instance at 0x60f9c20>, <search.State instance at 0x60f96c8>, <search.State instance at 0x60f9cb0>]",576,848,355
12,0.7522507633194147,"[<search.State instance at 0x8a44518>, <search.State instance at 0x8a44b90>, <search.State instance at 0x8a44440>]",713,1000,340
13,0.8574451395238514,"[<search.State instance at 0x95aaa70>, <search.State instance at 0x8540ab8>, <search.State instance at 0x8540ef0>]",215,331,223
14,0.7111022367906932,"[<search.State instance at 0x6a38368>, <search.State instance at 0x6a38cf8>, <search.State instance at 0x6a38a28>]",555,616,252
15,0.9546238292253432,"[<search.State instance at 0x8b5b5a8>, <search.State instance at 0x8b5b758>, <search.State instance at 0x8b5b7e8>]",1469,1093,595
16,0.6315226514615779,"[<search.State instance at 0x8a9d998>, <search.State instance at 0x8a9d6c8>, <search.State instance at 0x8a9d0e0>]",785,881,414
17,0.6349457837756658,"[<search.State instance at 0x96830e0>, <search.State instance at 0x9683488>, <search.State instance at 0x9683170>]",412,357,369
18,0.9608208897395899,"[<search.State instance at 0x6295ea8>, <search.State instance at 0x62955f0>, <search.State instance at 0x8b61560>]",668,903,678
19,0.6859101121953022,"[<search.State instance at 0x8a4c3f8>, <search.State instance at 0x8a4c710>, <search.State instance at 0x8a4c830>]",661,1221,675
20,0.6804819161727285,"[<search.State instance at 0x85637e8>, <search.State instance at 0x85636c8>, <search.State instance at 0x8563098>]",234,672,194
21,0.6599230593814823,"[<search.State instance at 0x675d680>, <search.State instance at 0x675dfc8>, <search.State instance at 0x675d5f0>]",254,505,294
22,0.832134606053607,"[<search.State instance at 0x8537098>, <search.State instance at 0x8537dd0>, <search.State instance at 0x85375a8>]",387,505,278
23,0.9272282151645699,"[<search.State instance at 0x8a482d8>, <search.State instance at 0x8a48518>, <search.State instance at 0x8a48b90>]",478,981,493
24,0.6190727489377944,"[<search.State instance at 0x85513b0>, <search.State instance at 0x8551050>, <search.State instance at 0x8551440>]",300,307,233
