,perimeter,points,ucs3bi,ucs3mono,ucs3tri
0,0.8821107178631025,"[<search.State instance at 0x8a4cd40>, <search.State instance at 0x8a4c5a8>, <search.State instance at 0x8a4c2d8>]",332,739,369
1,0.8541811937436545,"[<search.State instance at 0x853ee60>, <search.State instance at 0x853e560>, <search.State instance at 0x853e518>]",421,1081,480
2,0.539080049078763,"[<search.State instance at 0x7d46128>, <search.State instance at 0x913ca28>, <search.State instance at 0x913c7e8>]",412,623,446
3,0.9797646443403405,"[<search.State instance at 0x698b170>, <search.State instance at 0x698b1b8>, <search.State instance at 0x698b6c8>]",358,492,342
4,0.7742642134444346,"[<search.State instance at 0x8a59320>, <search.State instance at 0x8a59bd8>, <search.State instance at 0x8a59128>]",129,185,147
5,0.5858808767353069,"[<search.State instance at 0x67c3830>, <search.State instance at 0x67c37a0>, <search.State instance at 0x67c3fc8>]",556,717,391
6,0.6687968426778776,"[<search.State instance at 0x9590e18>, <search.State instance at 0x9590d40>, <search.State instance at 0x9590dd0>]",1320,983,713
7,0.9760047472806039,"[<search.State instance at 0x8abca70>, <search.State instance at 0x8abce18>, <search.State instance at 0x959f200>]",861,1329,637
8,0.6104495660101436,"[<search.State instance at 0x401bcf8>, <search.State instance at 0x401b878>, <search.State instance at 0x401b518>]",325,556,239
9,0.8229004294920541,"[<search.State instance at 0x643c248>, <search.State instance at 0x643ca28>, <search.State instance at 0x643cf80>]",1138,1742,703
10,0.9816387328829936,"[<search.State instance at 0x8a135f0>, <search.State instance at 0x8a135a8>, <search.State instance at 0x8a13248>]",2339,2341,1309
11,0.8864104822222958,"[<search.State instance at 0x60f9dd0>, <search.State instance at 0x60f94d0>, <search.State instance at 0x60f95f0>]",117,99,122
12,0.286027998769449,"[<search.State instance at 0x84b1e60>, <search.State instance at 0x62afcf8>, <search.State instance at 0x62af7e8>]",378,456,340
13,0.8578050096893346,"[<search.State instance at 0x8a497a0>, <search.State instance at 0x8a49f80>, <search.State instance at 0x8a496c8>]",1352,1101,796
14,0.8887955872799017,"[<search.State instance at 0x8a4b1b8>, <search.State instance at 0x8a4bb48>, <search.State instance at 0x8a4b3b0>]",620,951,364
15,0.46884600616596284,"[<search.State instance at 0x62ba518>, <search.State instance at 0x62ba368>, <search.State instance at 0x62ba830>]",620,539,356
16,0.895714445079326,"[<search.State instance at 0x89cf710>, <search.State instance at 0x89cfa28>, <search.State instance at 0x84b7d40>]",1262,2017,856
17,0.4927521098616522,"[<search.State instance at 0x64dedd0>, <search.State instance at 0x64de950>, <search.State instance at 0x64deb90>]",314,353,158
18,0.5380261038994043,"[<search.State instance at 0x8a962d8>, <search.State instance at 0x8a96e60>, <search.State instance at 0x8a96c20>]",61,137,59
19,0.9865188392904323,"[<search.State instance at 0x67c3ab8>, <search.State instance at 0x67c37e8>, <search.State instance at 0x67c3878>]",960,1160,414
20,0.9556555444739769,"[<search.State instance at 0x8ac3e60>, <search.State instance at 0x8ac3ab8>, <search.State instance at 0x847bf38>]",569,819,592
