,perimeter,points,ucs3bi,ucs3mono,ucs3tri
0,1.6697686546661341,"[<search.State instance at 0x8b61758>, <search.State instance at 0x8b61710>, <search.State instance at 0x8b616c8>]",1406,1617,1083
1,1.378139150260966,"[<search.State instance at 0x8b5a5f0>, <search.State instance at 0x8b5a128>, <search.State instance at 0x8b5a878>]",1727,2098,1047
2,1.801609917845135,"[<search.State instance at 0x8b570e0>, <search.State instance at 0x8b57758>, <search.State instance at 0x8b57dd0>]",2739,1900,1749
3,0.796649252181457,"[<search.State instance at 0x8b57908>, <search.State instance at 0x8b57e18>, <search.State instance at 0x8b57680>]",342,502,175
4,1.3804031432897725,"[<search.State instance at 0x8b5b1b8>, <search.State instance at 0x8b5b200>, <search.State instance at 0x8b5b248>]",1656,1995,998
