,perimeter,points,ucs3bi,ucs3mono,ucs3tri
44,0.7230974948512066,"[<search.State instance at 0x8dd9c20>, <search.State instance at 0x8dd95a8>, <search.State instance at 0x8dd9d88>]",397,661,413
45,0.9872788328716059,"[<search.State instance at 0x868bab8>, <search.State instance at 0x868bbd8>, <search.State instance at 0x868bb90>]",557,628,194
46,0.824855407286032,"[<search.State instance at 0x868b368>, <search.State instance at 0x868b680>, <search.State instance at 0x868b440>]",701,1000,507
47,0.9504974099194635,"[<search.State instance at 0x86fa830>, <search.State instance at 0x86fafc8>, <search.State instance at 0x86fa4d0>]",641,823,566
48,0.6036460695838679,"[<search.State instance at 0x868bcf8>, <search.State instance at 0x868b830>, <search.State instance at 0x868b128>]",108,195,115
49,0.7454561526784025,"[<search.State instance at 0x88dbc20>, <search.State instance at 0x88db128>, <search.State instance at 0x88dbea8>]",670,1122,722
50,0.9860063534314464,"[<search.State instance at 0x8ad1d88>, <search.State instance at 0x8ad1ea8>, <search.State instance at 0x8ad1c68>]",493,731,344
51,0.7903283229083091,"[<search.State instance at 0x8962c20>, <search.State instance at 0x8962b90>, <search.State instance at 0x8962908>]",449,699,369
52,0.43499902493559206,"[<search.State instance at 0x8d76998>, <search.State instance at 0x8d76b00>, <search.State instance at 0x4801d88>]",184,219,137
53,0.8894276145531276,"[<search.State instance at 0x88bb128>, <search.State instance at 0x88bbef0>, <search.State instance at 0x88bb2d8>]",520,671,562
54,0.701501286163404,"[<search.State instance at 0x4ffaa28>, <search.State instance at 0x4ffa098>, <search.State instance at 0x868b098>]",858,1098,868
55,0.7639832474581262,"[<search.State instance at 0x4b20320>, <search.State instance at 0x4b20290>, <search.State instance at 0x4b20c20>]",169,646,197
56,0.7112147200711235,"[<search.State instance at 0x8914758>, <search.State instance at 0x8914ab8>, <search.State instance at 0x88bbb90>]",508,1120,499
57,0.7439340486730619,"[<search.State instance at 0x8d46200>, <search.State instance at 0x8d46488>, <search.State instance at 0x8d46d40>]",932,1112,469
58,0.6172376117801874,"[<search.State instance at 0x8d76950>, <search.State instance at 0x8d76560>, <search.State instance at 0x873cb48>]",521,653,526
59,0.7947505164854602,"[<search.State instance at 0x4fc99e0>, <search.State instance at 0x4fc9950>, <search.State instance at 0x84f5c20>]",795,1048,574
60,0.5665526977788999,"[<search.State instance at 0x845f3b0>, <search.State instance at 0x845ff38>, <search.State instance at 0x845f1b8>]",577,356,238
61,0.9703675052396138,"[<search.State instance at 0x847c1b8>, <search.State instance at 0x847c248>, <search.State instance at 0x847ce60>]",629,1661,680
62,0.9604833614921371,"[<search.State instance at 0x8ad1b48>, <search.State instance at 0x8ad1758>, <search.State instance at 0x8ad1170>]",663,844,457
63,0.7155679584042711,"[<search.State instance at 0x86fae18>, <search.State instance at 0x86fab48>, <search.State instance at 0x8d76128>]",463,943,566
64,0.9803802890393467,"[<search.State instance at 0x8ad11b8>, <search.State instance at 0x8ad1e18>, <search.State instance at 0x8ad1830>]",457,569,268
65,0.8030702960784813,"[<search.State instance at 0x8a84908>, <search.State instance at 0x8a84200>, <search.State instance at 0x8a84a70>]",493,762,547
66,0.5021162606208087,"[<search.State instance at 0x49ad488>, <search.State instance at 0x49ad440>, <search.State instance at 0x49ad7e8>]",241,324,241
67,0.45523212556487913,"[<search.State instance at 0x868bb48>, <search.State instance at 0x868bcb0>, <search.State instance at 0x868b908>]",360,408,205
68,0.8983873405123954,"[<search.State instance at 0x8a84d88>, <search.State instance at 0x8a84e60>, <search.State instance at 0x8a84368>]",1286,946,442
69,0.6287621742306669,"[<search.State instance at 0x4ebdea8>, <search.State instance at 0x4ebd128>, <search.State instance at 0x4ebd368>]",1586,620,706
70,0.8525464727583276,"[<search.State instance at 0x873cf38>, <search.State instance at 0x8909680>, <search.State instance at 0x8909128>]",791,1098,544
71,0.7718713776418945,"[<search.State instance at 0x8673998>, <search.State instance at 0x8673ab8>, <search.State instance at 0x86734d0>]",506,447,264
72,0.5998745399963162,"[<search.State instance at 0x4d09098>, <search.State instance at 0x4d09cb0>, <search.State instance at 0x4d09320>]",350,773,524
73,0.7022694972904016,"[<search.State instance at 0x8bf33f8>, <search.State instance at 0x8bf3b48>, <search.State instance at 0x8bf3fc8>]",513,1173,389
74,0.9706062982734145,"[<search.State instance at 0x4ebd680>, <search.State instance at 0x4ebd488>, <search.State instance at 0x4ebda28>]",1404,1809,767
75,0.8790752936670738,"[<search.State instance at 0x4c68c68>, <search.State instance at 0x4c689e0>, <search.State instance at 0x4c68cb0>]",667,613,546
76,0.817778108634343,"[<search.State instance at 0x845f098>, <search.State instance at 0x845fc68>, <search.State instance at 0x845f998>]",362,947,353
